# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 3.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-3.288325e-04	1.782970e-02	3.513332e-05	-3.112658e-04	3.463992e-04
0.0005        	9.457966e-01	1.337874e+00	3.793669e-01	1.135480e+00	-7.561131e-01
0.001         	6.678140e-01	8.529055e-01	3.561576e-01	8.458928e-01	-4.897352e-01
0.0015        	1.317355e-01	1.463877e-03	2.481239e-01	2.557974e-01	-7.673526e-03
0.002         	-1.125341e-01	-4.146032e-01	2.356109e-01	5.271341e-03	2.303395e-01
0.0025        	-5.194007e-02	-3.261627e-01	2.486456e-01	7.238275e-02	1.762629e-01
0.003         	9.088393e-02	-5.040901e-02	2.102719e-01	1.960199e-01	1.425200e-02
0.0035        	1.810276e-01	1.341230e-01	1.725771e-01	2.673161e-01	-9.473905e-02
0.004         	1.849429e-01	1.506027e-01	1.639589e-01	2.669224e-01	-1.029634e-01
0.0045        	1.515631e-01	7.431353e-02	1.915256e-01	2.473259e-01	-5.580032e-02
0.005         	1.248526e-01	2.192490e-03	2.248623e-01	2.372838e-01	-1.242142e-02
0.0055        	1.164717e-01	-2.170584e-02	2.334341e-01	2.331887e-01	2.453815e-04
0.006         	1.185905e-01	-7.371056e-03	2.147178e-01	2.259494e-01	-1.123163e-02
0.0065        	1.221302e-01	1.670624e-02	1.887988e-01	2.165296e-01	-2.773083e-02
0.007         	1.244778e-01	3.019427e-02	1.773863e-01	2.131710e-01	-3.578471e-02
0.0075        	1.258909e-01	2.980684e-02	1.839667e-01	2.178743e-01	-3.390752e-02
0.008         	1.277217e-01	2.238971e-02	1.997100e-01	2.275767e-01	-2.786667e-02
0.0085        	1.283901e-01	1.582920e-02	2.098159e-01	2.332981e-01	-2.348215e-02
0.009         	1.272906e-01	1.373782e-02	2.090873e-01	2.318342e-01	-2.274695e-02
0.0095        	1.252561e-01	1.517204e-02	2.019138e-01	2.262130e-01	-2.429924e-02
0.01          	1.239248e-01	1.759796e-02	1.961200e-01	2.219848e-01	-2.586487e-02
0.0105        	1.242957e-01	1.892040e-02	1.962414e-01	2.224164e-01	-2.617496e-02
0.011         	1.259329e-01	1.869961e-02	2.010662e-01	2.264660e-01	-2.539986e-02
0.0115        	1.280034e-01	1.760109e-02	2.072998e-01	2.316533e-01	-2.435356e-02
0.012         	1.293960e-01	1.669370e-02	2.113077e-01	2.350498e-01	-2.374211e-02
0.0125        	1.299056e-01	1.644105e-02	2.125125e-01	2.361619e-01	-2.364939e-02
0.013         	1.300970e-01	1.670886e-02	2.126392e-01	2.364166e-01	-2.377744e-02
0.0135        	1.304125e-01	1.709414e-02	2.132930e-01	2.370590e-01	-2.376601e-02
0.014         	1.310745e-01	1.724655e-02	2.151981e-01	2.386736e-01	-2.347543e-02
0.0145        	1.319899e-01	1.712275e-02	2.179770e-01	2.409784e-01	-2.300140e-02
0.015         	1.329804e-01	1.686067e-02	2.209378e-01	2.434493e-01	-2.251148e-02
0.0155        	1.337884e-01	1.666676e-02	2.233104e-01	2.454436e-01	-2.213319e-02
0.016         	1.343920e-01	1.663363e-02	2.250128e-01	2.468983e-01	-2.188557e-02
0.0165        	1.350003e-01	1.671981e-02	2.265791e-01	2.482898e-01	-2.171075e-02
0.017         	1.357153e-01	1.682643e-02	2.283548e-01	2.498927e-01	-2.153785e-02
0.0175        	1.365409e-01	1.687294e-02	2.304342e-01	2.517580e-01	-2.132384e-02
0.018         	1.374286e-01	1.684666e-02	2.327280e-01	2.537926e-01	-2.106463e-02
0.0185        	1.383009e-01	1.678547e-02	2.350399e-01	2.558208e-01	-2.078096e-02
0.019         	1.390787e-01	1.674251e-02	2.371584e-01	2.576579e-01	-2.049950e-02
0.0195        	1.397850e-01	1.674436e-02	2.390928e-01	2.593314e-01	-2.023854e-02
0.02          	1.404767e-01	1.678231e-02	2.409492e-01	2.609513e-01	-2.000210e-02
0.0205        	1.411962e-01	1.682878e-02	2.428267e-01	2.626095e-01	-1.978286e-02
0.021         	1.419440e-01	1.685904e-02	2.447543e-01	2.643211e-01	-1.956684e-02
0.0215        	1.427010e-01	1.686631e-02	2.467201e-01	2.660611e-01	-1.934094e-02
0.022         	1.434237e-01	1.685778e-02	2.486533e-01	2.677503e-01	-1.909705e-02
0.0225        	1.440956e-01	1.684776e-02	2.505201e-01	2.693557e-01	-1.883555e-02
0.023         	1.447326e-01	1.684640e-02	2.523395e-01	2.709023e-01	-1.856286e-02
0.0235        	1.453497e-01	1.685421e-02	2.541227e-01	2.724111e-01	-1.828836e-02
0.024         	1.459677e-01	1.686549e-02	2.558966e-01	2.739160e-01	-1.801941e-02
0.0245        	1.465976e-01	1.687367e-02	2.576763e-01	2.754358e-01	-1.775947e-02
0.025         	1.472403e-01	1.687514e-02	2.594658e-01	2.769732e-01	-1.750736e-02
0.0255        	1.478911e-01	1.687068e-02	2.612623e-01	2.785222e-01	-1.725997e-02
0.026         	1.485456e-01	1.686348e-02	2.630634e-01	2.800773e-01	-1.701386e-02
0.0265        	1.491953e-01	1.685629e-02	2.648548e-01	2.816227e-01	-1.676786e-02
0.027         	1.498416e-01	1.685081e-02	2.666379e-01	2.831606e-01	-1.652268e-02
0.0275        	1.504900e-01	1.684748e-02	2.684185e-01	2.846992e-01	-1.628073e-02
0.028         	1.511417e-01	1.684525e-02	2.701963e-01	2.862398e-01	-1.604349e-02
0.0285        	1.517960e-01	1.684316e-02	2.719689e-01	2.877805e-01	-1.581158e-02
0.029         	1.524470e-01	1.683999e-02	2.737268e-01	2.893104e-01	-1.558360e-02
0.0295        	1.530919e-01	1.683591e-02	2.754681e-01	2.908260e-01	-1.535787e-02
0.03          	1.537262e-01	1.683089e-02	2.771883e-01	2.923204e-01	-1.513205e-02
0.0305        	1.543492e-01	1.682550e-02	2.788884e-01	2.937934e-01	-1.490499e-02
0.031         	1.549593e-01	1.681976e-02	2.805673e-01	2.952429e-01	-1.467563e-02
0.0315        	1.555563e-01	1.681374e-02	2.822246e-01	2.966686e-01	-1.444406e-02
0.032         	1.561389e-01	1.680698e-02	2.838573e-01	2.980675e-01	-1.421018e-02
0.0325        	1.567066e-01	1.679922e-02	2.854644e-01	2.994388e-01	-1.397438e-02
0.033         	1.572582e-01	1.679001e-02	2.870434e-01	3.007799e-01	-1.373647e-02
0.0335        	1.577935e-01	1.677925e-02	2.885941e-01	3.020905e-01	-1.349648e-02
0.034         	1.583116e-01	1.676671e-02	2.901151e-01	3.033691e-01	-1.325402e-02
0.0345        	1.588126e-01	1.675243e-02	2.916070e-01	3.046161e-01	-1.300906e-02
0.035         	1.592961e-01	1.673628e-02	2.930694e-01	3.058308e-01	-1.276134e-02
0.0355        	1.597624e-01	1.671831e-02	2.945028e-01	3.070139e-01	-1.251102e-02
0.036         	1.602114e-01	1.669846e-02	2.959068e-01	3.081648e-01	-1.225804e-02
0.0365        	1.606432e-01	1.667681e-02	2.972813e-01	3.092839e-01	-1.200258e-02
0.037         	1.610577e-01	1.665332e-02	2.986262e-01	3.103708e-01	-1.174460e-02
0.0375        	1.614545e-01	1.662804e-02	2.999406e-01	3.114248e-01	-1.148420e-02
0.038         	1.618336e-01	1.660094e-02	3.012245e-01	3.124459e-01	-1.122137e-02
0.0385        	1.621948e-01	1.657209e-02	3.024771e-01	3.134334e-01	-1.095627e-02
0.039         	1.625381e-01	1.654149e-02	3.036982e-01	3.143872e-01	-1.068900e-02
0.0395        	1.628643e-01	1.650928e-02	3.048891e-01	3.153089e-01	-1.041981e-02
0.04          	1.631740e-01	1.647549e-02	3.060504e-01	3.161992e-01	-1.014884e-02
0.0405        	1.634678e-01	1.644022e-02	3.071829e-01	3.170592e-01	-9.876321e-03
0.041         	1.637458e-01	1.640351e-02	3.082868e-01	3.178892e-01	-9.602404e-03
0.0415        	1.640081e-01	1.636548e-02	3.093616e-01	3.186889e-01	-9.327347e-03
0.042         	1.642561e-01	1.632620e-02	3.104096e-01	3.194609e-01	-9.051329e-03
0.0425        	1.644903e-01	1.628577e-02	3.114314e-01	3.202060e-01	-8.774637e-03
0.043         	1.647110e-01	1.624425e-02	3.124269e-01	3.209245e-01	-8.497534e-03
0.0435        	1.649190e-01	1.620176e-02	3.133973e-01	3.216177e-01	-8.220403e-03
0.044         	1.651157e-01	1.615843e-02	3.143441e-01	3.222877e-01	-7.943592e-03
0.0445        	1.653017e-01	1.611440e-02	3.152684e-01	3.229359e-01	-7.667523e-03
0.045         	1.654781e-01	1.606977e-02	3.161711e-01	3.235636e-01	-7.392531e-03
0.0455        	1.656462e-01	1.602464e-02	3.170544e-01	3.241733e-01	-7.118975e-03
0.046         	1.658062e-01	1.597917e-02	3.179181e-01	3.247653e-01	-6.847202e-03
0.0465        	1.659595e-01	1.593347e-02	3.187639e-01	3.253415e-01	-6.577568e-03
0.047         	1.661075e-01	1.588765e-02	3.195943e-01	3.259047e-01	-6.310339e-03
0.0475        	1.662507e-01	1.584184e-02	3.204097e-01	3.264555e-01	-6.045829e-03
0.048         	1.663894e-01	1.579611e-02	3.212103e-01	3.269946e-01	-5.784303e-03
0.0485        	1.665243e-01	1.575058e-02	3.219965e-01	3.275226e-01	-5.526072e-03
0.049         	1.666567e-01	1.570535e-02	3.227706e-01	3.280420e-01	-5.271352e-03
0.0495        	1.667874e-01	1.566053e-02	3.235342e-01	3.285545e-01	-5.020353e-03
0.05          	1.669175e-01	1.561618e-02	3.242886e-01	3.290618e-01	-4.773191e-03
0.0505        	1.670462e-01	1.557239e-02	3.250323e-01	3.295623e-01	-4.530049e-03
0.051         	1.671743e-01	1.552916e-02	3.257666e-01	3.300576e-01	-4.291003e-03
0.0515        	1.673019e-01	1.548657e-02	3.264915e-01	3.305476e-01	-4.056158e-03
0.052         	1.674295e-01	1.544467e-02	3.272078e-01	3.310334e-01	-3.825543e-03
0.0525        	1.675574e-01	1.540356e-02	3.279164e-01	3.315155e-01	-3.599154e-03
0.053         	1.676858e-01	1.536321e-02	3.286177e-01	3.319947e-01	-3.376940e-03
0.0535        	1.678143e-01	1.532360e-02	3.293108e-01	3.324697e-01	-3.158903e-03
0.054         	1.679429e-01	1.528473e-02	3.299957e-01	3.329407e-01	-2.945016e-03
0.0545        	1.680716e-01	1.524661e-02	3.306728e-01	3.334080e-01	-2.735250e-03
0.055         	1.682006e-01	1.520928e-02	3.313422e-01	3.338717e-01	-2.529527e-03
0.0555        	1.683298e-01	1.517276e-02	3.320041e-01	3.343319e-01	-2.327770e-03
0.056         	1.684591e-01	1.513707e-02	3.326584e-01	3.347883e-01	-2.129902e-03
0.0565        	1.685883e-01	1.510224e-02	3.333049e-01	3.352408e-01	-1.935879e-03
0.057         	1.687177e-01	1.506817e-02	3.339441e-01	3.356897e-01	-1.745670e-03
0.0575        	1.688472e-01	1.503480e-02	3.345760e-01	3.361352e-01	-1.559248e-03
0.058         	1.689767e-01	1.500212e-02	3.352004e-01	3.365769e-01	-1.376549e-03
0.0585        	1.691062e-01	1.497017e-02	3.358173e-01	3.370148e-01	-1.197503e-03
0.059         	1.692355e-01	1.493899e-02	3.364270e-01	3.374491e-01	-1.022026e-03
0.0595        	1.693645e-01	1.490858e-02	3.370290e-01	3.378790e-01	-8.500559e-04
0.06          	1.694932e-01	1.487891e-02	3.376233e-01	3.383049e-01	-6.815307e-04
0.0605        	1.696215e-01	1.484992e-02	3.382103e-01	3.387267e-01	-5.163987e-04
0.061         	1.697494e-01	1.482162e-02	3.387895e-01	3.391441e-01	-3.545888e-04
0.0615        	1.698769e-01	1.479403e-02	3.393618e-01	3.395578e-01	-1.960185e-04
0.062         	1.700039e-01	1.476700e-02	3.399266e-01	3.399672e-01	-4.061980e-05
0.0625        	1.701303e-01	1.474044e-02	3.404840e-01	3.403723e-01	1.116620e-04
0.063         	1.702561e-01	1.471441e-02	3.410340e-01	3.407731e-01	2.608836e-04
0.0635        	1.703809e-01	1.468898e-02	3.415761e-01	3.411690e-01	4.070968e-04
0.064         	1.705050e-01	1.466420e-02	3.421106e-01	3.415603e-01	5.503611e-04
0.0645        	1.706283e-01	1.464003e-02	3.426380e-01	3.419473e-01	6.907249e-04
0.065         	1.707508e-01	1.461644e-02	3.431580e-01	3.423298e-01	8.282476e-04
0.0655        	1.708723e-01	1.459337e-02	3.436706e-01	3.427076e-01	9.629869e-04
0.066         	1.709929e-01	1.457080e-02	3.441758e-01	3.430808e-01	1.095002e-03
0.0665        	1.711125e-01	1.454872e-02	3.446736e-01	3.434493e-01	1.224344e-03
0.067         	1.712311e-01	1.452711e-02	3.451642e-01	3.438132e-01	1.351066e-03
0.0675        	1.713486e-01	1.450596e-02	3.456476e-01	3.441724e-01	1.475215e-03
0.068         	1.714650e-01	1.448526e-02	3.461237e-01	3.445269e-01	1.596838e-03
0.0685        	1.715803e-01	1.446502e-02	3.465925e-01	3.448766e-01	1.715980e-03
0.069         	1.716945e-01	1.444522e-02	3.470544e-01	3.452217e-01	1.832681e-03
0.0695        	1.718076e-01	1.442584e-02	3.475092e-01	3.455622e-01	1.946984e-03
0.07          	1.719195e-01	1.440689e-02	3.479569e-01	3.458980e-01	2.058936e-03
0.0705        	1.720303e-01	1.438835e-02	3.483978e-01	3.462292e-01	2.168573e-03
0.071         	1.721399e-01	1.437021e-02	3.488318e-01	3.465558e-01	2.275937e-03
0.0715        	1.722484e-01	1.435246e-02	3.492589e-01	3.468779e-01	2.381066e-03
0.072         	1.723557e-01	1.433509e-02	3.496794e-01	3.471954e-01	2.483999e-03
